timestamp,frame_number,activity_type,face_center_x,face_center_y,details
2026-06-12T14:32:19.778103,208,move_left,364.0,185.5,dx=-26.0px
2026-06-12T14:32:19.778366,208,move_up,364.0,185.5,dy=-21.0px
2026-06-12T14:32:20.702815,212,move_down,350.5,206.5,dy=21.0px
2026-06-12T14:32:21.561154,220,blink,417.0,197.0,
2026-06-12T14:32:21.561379,220,move_right,417.0,197.0,dx=66.5px
2026-06-12T14:32:22.792837,232,blink,417.0,197.0,
2026-06-12T14:36:02.613127,3580,move_left,323.5,207.5,dx=-93.5px
2026-06-12T14:36:03.214586,3584,move_right,360.5,204.0,dx=37.0px
2026-06-12T14:36:04.813176,3596,move_left,305.5,185.5,dx=-55.0px
2026-06-12T14:36:08.160246,3636,move_left,264.0,183.5,dx=-58.5px
2026-06-12T14:36:09.264714,3644,move_right,296.0,193.0,dx=32.0px
2026-06-12T14:36:11.304013,3656,move_right,398.0,195.0,dx=66.5px
2026-06-12T14:36:12.206089,3660,move_left,370.0,197.5,dx=-28.0px
2026-06-12T14:36:14.755182,3684,move_left,316.0,201.0,dx=-45.0px
2026-06-12T14:36:15.933979,3692,move_left,267.5,190.5,dx=-48.5px
2026-06-12T14:36:16.832313,3696,move_right,289.5,190.0,dx=22.0px
2026-06-12T14:36:21.932729,3744,smile,378.5,179.5,
2026-06-12T14:36:21.932933,3744,move_right,378.5,179.5,dx=94.5px
2026-06-12T14:36:22.651065,3756,smile,378.5,179.5,
2026-06-12T14:36:23.554280,3764,move_left,336.5,179.5,dx=-42.0px
2026-06-12T14:36:27.286592,3780,move_right,317.5,181.0,dx=69.5px
2026-06-12T14:36:29.061052,3788,move_left,378.0,179.5,dx=-24.5px
2026-06-12T14:36:30.845345,3796,smile,266.5,185.0,
2026-06-12T14:36:30.845511,3796,move_left,266.5,185.0,dx=-99.5px
2026-06-12T14:36:31.567411,3808,smile,266.5,185.0,
2026-06-12T14:36:33.170900,3828,move_left,197.0,215.0,dx=-69.5px
2026-06-12T14:36:33.171136,3828,move_down,197.0,215.0,dy=30.0px
2026-06-12T14:36:36.493041,3872,move_right,310.0,206.0,dx=113.0px
2026-06-12T14:36:47.798028,4012,smile,320.0,179.5,
2026-06-12T14:36:47.798254,4012,move_right,320.0,179.5,dx=26.5px
2026-06-12T14:36:50.535092,4024,move_right,404.0,179.5,dx=62.0px
2026-06-12T14:36:55.585180,4080,move_left,378.0,179.5,dx=-46.5px
2026-06-12T14:36:56.941142,4096,move_left,216.5,192.5,dx=-161.5px
2026-06-12T14:36:57.952892,4100,blink,295.0,214.5,
2026-06-12T14:36:57.953110,4100,move_right,295.0,214.5,dx=78.5px
2026-06-12T14:36:57.953237,4100,move_down,295.0,214.5,dy=22.0px
2026-06-12T14:36:58.983683,4112,blink,295.0,214.5,
2026-06-12T14:37:02.938021,4160,move_right,438.0,222.0,dx=156.0px
2026-06-12T14:37:02.938252,4160,move_down,438.0,222.0,dy=26.0px
2026-06-12T14:37:09.369892,4252,smile,282.5,181.0,
2026-06-12T14:37:09.370102,4252,move_left,282.5,181.0,dx=-155.5px
2026-06-12T14:37:09.370178,4252,move_up,282.5,181.0,dy=-41.0px
2026-06-12T14:37:10.298276,4256,move_right,451.0,197.5,dx=168.5px
2026-06-12T14:37:11.196570,4260,move_left,333.0,190.5,dx=-118.0px
2026-06-12T14:37:11.387066,4264,smile,333.0,190.5,
2026-06-12T14:37:12.191378,4276,smile,333.0,190.5,
2026-06-12T14:37:14.399918,4304,smile,282.5,197.5,
2026-06-12T14:37:14.400113,4304,move_left,282.5,197.5,dx=-50.5px
2026-06-12T14:37:16.219427,4312,move_right,291.5,201.5,dx=60.0px
2026-06-12T14:37:17.972428,4320,move_right,358.5,198.0,dx=74.5px
2026-06-12T14:37:19.702080,4328,move_left,360.0,192.0,dx=-26.0px
